Category,Notification Type,ID,Constant Name,Title (Arabic),Title (English),Body (Arabic),Body (English),Schedule Type,Schedule Time/Condition,Repeat Daily,Payload,Deep Link,Channel ID,Sound,Enabled,Auto Schedule,Notes
Azkar,Morning Azkar,9000,morningAzkarNotificationId,🌅 أذكار الصباح,🌅 Morning Azkar,ابدأ يومك بذكر الله، فالذكر نور للقلب وطمأنينة للنفس.,Start your morning with Allah's remembrance — it brings light to the heart and peace to the soul.,Daily,08:00 (auto-adjusts to Fajr + 1 hour),Yes,"{""action"": ""navigate"", ""category"": ""morning"", ""autoSchedule"": true}",/azkar/zekr/4,azkar_channel,default,Yes,Yes,Auto-adjusts based on Fajr prayer time
Azkar,Evening Azkar,9001,eveningAzkarNotificationId,🌇 أذكار المساء,🌇 Evening Azkar,اختم يومك بذكر الله، فهو حصنٌ من الهموم وراحةٌ للروح.,End your day with Allah's remembrance — a shield from worries and comfort for the soul.,Daily,18:00 (auto-adjusts to Maghrib - 15 min),Yes,"{""action"": ""navigate"", ""category"": ""evening"", ""autoSchedule"": true}",/azkar/zekr/2,azkar_channel,default,Yes,Yes,Auto-adjusts based on Maghrib prayer time
Azkar,Sleep Azkar,9004,sleepAzkarNotificationId,🌙 أذكار النوم,🌙 Sleep Azkar,نم على ذكر الله، فهو أمانٌ للقلب وسكينةٌ للنفس.,Sleep with Allah's remembrance — it brings safety to the heart and serenity to the soul.,Daily,22:00,Yes,"{""action"": ""navigate"", ""category"": ""sleep""}",/azkar/zekr/5,azkar_channel,default,Yes,No,Fixed time notification
Quran,Surah Al-Mulk,9002,almulkQuranNotificationId,منبه سورة الملك,Surah Al-Mulk Alarm,لا تنسَ قراءة سورة الملك قبل النوم، فهي المنجية من عذاب القبر.,Remember to recite Surah Al-Mulk before sleeping — it protects from the punishment of the grave.,Daily,User-defined,Yes,"{""surah"": ""al_mulk"", ""surahNumber"": 67}",/quran,al_muslim_local_notifications,default,User-defined,No,User can set custom time
Quran,Surah Al-Baqara,9003,albakraQuranNotificationId,منبه سورة البقرة,Surah Al-Baqara Alarm,قراءة سورة البقرة( إن لكل شيء سناما، وإن سنام القرآن البقرة، وإن من قرأها في بيته ليلة لم يدخله الشيطان 3 ليال),Reciting Surah Al-Baqara brings blessings; neglecting it brings regret and falsehood cannot overcome it.,Daily,User-defined,Yes,"{""surah"": ""al_baqara"", ""surahNumber"": 2}",/quran,al_muslim_local_notifications,default,User-defined,No,User can set custom time
Prayer,Fajr Prayer,4200+,prayNotificationBaseId,🕌 صلاة الفجر,🕌 Fajr Prayer,حان وقت صلاة الفجر، قم إلى الصلاة فهي خير من النوم.,It is time for Fajr prayer — rise to prayer for it is better than sleep.,Prayer Time,Fajr time,No,"{""action"": ""navigate"", ""name"": ""fajr""}",/,prayer_channel,adhan,Yes,No,Dynamic based on location
Prayer,Sunrise,4200+,prayNotificationBaseId,🕌 صلاة الشروق,🕌 Sunrise Prayer,حان وقت صلاة الشروق، اجعل يومك يبدأ بالنور والبركة.,It is time for Sunrise prayer — begin your day with light and blessings.,Prayer Time,Sunrise time,No,"{""action"": ""navigate"", ""name"": ""sunrise""}",/,prayer_channel,adhan,Yes,No,Dynamic based on location
Prayer,Dhuhr Prayer,4200+,prayNotificationBaseId,🕌 صلاة الظهر,🕌 Dhuhr Prayer,حان وقت صلاة الظهر، استعن بالله وسط يومك.,It is time for Dhuhr prayer — seek strength from Allah in the middle of your day.,Prayer Time,Dhuhr time,No,"{""action"": ""navigate"", ""name"": ""dhuhr""}",/,prayer_channel,adhan,Yes,No,Dynamic based on location
Prayer,Asr Prayer,4200+,prayNotificationBaseId,🕌 صلاة العصر,🕌 Asr Prayer,حان وقت صلاة العصر، لا تفوّت ذكر الله في وقت العمل.,It is time for Asr prayer — don't miss Allah's remembrance during your busy hours.,Prayer Time,Asr time,No,"{""action"": ""navigate"", ""name"": ""asr""}",/,prayer_channel,adhan,Yes,No,Dynamic based on location
Prayer,Maghrib Prayer,4200+,prayNotificationBaseId,🕌 صلاة المغرب,🕌 Maghrib Prayer,حان وقت صلاة المغرب، افتتح ليلك بالصلاة والذكر.,It is time for Maghrib prayer — begin your evening with prayer and remembrance.,Prayer Time,Maghrib time,No,"{""action"": ""navigate"", ""name"": ""maghrib""}",/,prayer_channel,adhan,Yes,No,Dynamic based on location
Prayer,Isha Prayer,4200+,prayNotificationBaseId,🕌 صلاة العشاء,🕌 Isha Prayer,حان وقت صلاة العشاء، اختم يومك بالقرب من الله.,It is time for Isha prayer — end your day close to Allah.,Prayer Time,Isha time,No,"{""action"": ""navigate"", ""name"": ""isha""}",/,prayer_channel,adhan,Yes,No,Dynamic based on location
Werd,Daily Werd Reminder,1000+,werdNotificationBaseId,تذكير الورد اليومي,Daily Werd Reminder,لا تنسَ وردك اليومي، فهو زاد القلب وروح الإيمان.,Don't forget your daily Werd — it nourishes the heart and strengthens faith.,Daily,User-defined (default 08:00),Yes,"{""planId"": <plan_id>}",/werd,al_muslim_local_notifications,default,User-defined,No,Multiple notifications possible for different plans
Hourly Zekr,Hourly Zekr Reminder,9100,hourlyZekrNotificationId,ذكر الله,Hourly Zekr,<Random Zekr Text>,<Random Zekr Text>,Hourly,Every 1 hour,No,"{""type"": ""hourly_zekr"", ""zekr_id"": <id>}",None,hourly_zekr,default,User-defined,No,Displays random Islamic remembrance every hour. Auto-reschedules after each notification.
